,ITEM_DESC,VENDOR,BRAND,VENDOR_CODE,UNIT,PACK,PER_PACK,PRICE,LAST_UPDATE,ACCOUNT,FLAG
361,GLAZE BALSAMIC VINEGAR OF MODENA,SYSCO,ARREZZIO,651828,CASE,6.0,12.9 OZ,19.1,2025-07-16,KITCHEN,
362,GLOVE NITRILE FOODSERVICE POWDER FREE BLACK EX,SYSCO,CLASSIC,4685621,CASE,10.0,100 CT,66.92,2025-09-29,KITCHEN,
363,GLOVE NITRILE FOODSERVICE POWDER FREE BLACK SMALL,SYSCO,CLASSIC,4685576,CASE,10.0,100 CT,66.92,2025-07-15,KITCHEN,
364,GLOVE VINYL FOODSERVICE POWDER FREE EXTRA LARGE,SYSCO,CLASSIC,8399737,CASE,10.0,100 CT,43.96,2025-07-11,KITCHEN,
365,GLOVE VINYL FOODSERVICE POWDER FREE MEDIUM,SYSCO,RELIANCE,951998,CASE,10.0,100 CT,43.42,2025-08-15,KITCHEN,
366,GLOVE VINYL FOODSERVICE POWDER FREE SMALL,SYSCO,CLASSIC,5989864,CASE,4.0,100 CT,28.79,2025-07-22,KITCHEN,
367,HAM PROSCIUTTO COLOSSEUM DOMESTIC TRIMMED,SYSCO,ARREZZIO,2557379,LB,2.0,5.25 LB,7.89,2025-09-26,KITCHEN,
368,HOISIN SAUCE,SYSCO,LEE KUM KEE,4520623,CASE,1.0,5 LB,11.67,2025-09-29,KITCHEN,
369,HONEY PURE CUP,SYSCO,HOUSE RECIPE,3530128,CASE,200.0,12 G,56.83,2025-07-15,KITCHEN,
370,HONEY PURE LIGHT AMBER GRADE A TRUE SOURCE CERTIFIED IN JUG,SYSCO,RELIANCE,3374097,CASE,6.0,5 LB,112.68,2025-07-04,KITCHEN,
371,ICE CREAM BAR FUDGE,SYSCO,BLUE RIBBON,7058869,CASE,48.0,3 OZ,20.11,2025-07-30,KITCHEN,
372,ICE CREAM BAR HOMEMADE VANILLA,SYSCO,BLUE RIBBON,1719806,CASE,2.0,24 CT,22.51,2025-07-30,KITCHEN,
373,ICE CREAM CHOCOLATE CUP 4 OUNCES,SYSCO,WHOLESOME FARMS,3412424,CASE,48.0,4 OZ,20.9,2025-07-16,KITCHEN,
374,ICE CREAM SANDWICH VANILLA,SYSCO,BLUE BUNNY,2577328,CASE,24.0,6 OZ,21.59,2025-07-30,KITCHEN,
375,ICE CREAM VANILLA CUP 4 OUNCES,SYSCO,WHOLESOME FARMS,3412410,CASE,48.0,4 OZ,20.9,2025-07-16,KITCHEN,
376,JELLY ASSORTED CUP GRAPE STRAWBERRY & MIXED FR,SYSCO,JM SMUCKER,4043899,CASE,200.0,.5 OZ,17.02,2025-07-15,KITCHEN,
377,JUICE APPLE CONCENTRATE 5:1 YIELD,SYSCO,SUNKIST,55493,CASE,3.0,3 LTR,130.94,2025-08-27,KITCHEN,
378,JUICE CONCENTRATE FROZEN CRANBERRY COCKTAIL 10%,SYSCO,SUNKIST,4185775,CASE,3.0,3 LTR,87.98,2025-09-29,KITCHEN,
379,JUICE CRANBERRY COCKTAIL 27%,SYSCO,CITAVO,4687562,CASE,8.0,64 OZ,48.26,2025-08-22,KITCHEN,
380,JUICE LEMON,SYSCO,REALEMON,8624161,CASE,8.0,48 OZ,33.36,2025-07-25,KITCHEN,
381,JUICE LEMON PLASTIC BOTTLE READY TO USE,SYSCO,CITAVO GROVE,475394,CASE,12.0,32 OZ,34.59,2025-07-28,KITCHEN,
382,JUICE LIME PASTEURIZED ULTRA PREMIUM,SYSCO,NATURAL,3865730,CASE,6.0,1 QT,26.62,2025-09-29,KITCHEN,
383,JUICE ORANGE FROZEN CONCENTRATE,SYSCO,SUNKIST,55507,CASE,3.0,3 LTR,154.62,2025-10-22,KITCHEN,
384,JUICE VEGETABLE,SYSCO,V-8,4019139,CASE,12.0,46 OZ,29.45,2025-07-29,KITCHEN,
385,KETCHUP FANCY,SYSCO,HOUSE RECIPE,5686266,CASE,6.0,#10,46.67,2025-09-24,KITCHEN,
386,KETCHUP SQUEEZE RED BOTTLE,SYSCO,HOUSE RECIPE,4560934,CASE,36.0,14 OZ,47.66,2025-07-15,KITCHEN,
387,LABEL ROLL UNIVERSAL PLASTIC 2 INCH X 2 INCH,SYSCO,KEYSTONE PRODUCTS,4218998,CASE,1.0,750 CT,19.22,2025-09-26,BAKERY,
388,LID PLASTIC TRANSLUCENT FOR 12-20 OUNCE CUP,SYSCO,CLASSIC,1993803,CASE,12.0,100 CT,67.56,2025-10-22,KITCHEN,
389,LID PLSATIC DOME BLACK 12/16/20/14,SYSCO,SOLO CUP,6461683,CASE,1.0,1000 CT,29.08,2025-08-27,KITCHEN,
390,LINER PAN QUILON TREATED 16X24,SYSCO,CLASSIC,6787774,CASE,1.0,1000 CT,70.66,2025-09-29,KITCHEN,
391,"LINER TRASH 40""X46""",SYSCO,RELIANCE,1763853,CASE,1.0,100 CT,34.88,2025-10-22,KITCHEN,
392,"LOBSTER LIVE 1.25# ""QUARTERS""",SYSCO,PORTICO,8733329,LB,1.0,6 CT,15.621,2025-07-24,KITCHEN,
393,LOBSTER MEAT SENSATIONS,SYSCO,MRS FRIDAY,4488276,CASE,6.0,2 LB,126.47,2025-09-26,KITCHEN,
394,LOBSTER TAIL NORTH ATLANTIC PREMIUM 4-5 OUNCE,SYSCO,PORTICO,2524965,CASE,1.0,10 LB,219.61,2025-07-25,KITCHEN,
395,MAYONNAISE HEAVY DUTY,SYSCO,RELIANCE,4002432,CASE,4.0,1 GAL,51.4,2025-09-30,KITCHEN,
396,MAYONNAISE HEAVY DUTY PAIL,SYSCO,RELIANCE,4002408,CASE,1.0,28 LB,49.84,2025-09-30,KITCHEN,
397,MILK 2%,SYSCO,WHOLESOME FARMS,4676280,CASE,4.0,1 GAL,18.9,2025-09-29,KITCHEN,
398,MILK COCONUT UNSWEETENED,SYSCO,JADE MOUNTAIN,1425982,CASE,24.0,13.5 OZ,46.76,2025-07-25,KITCHEN,
399,MOP HEAD BLEND LOOPED-END ALL PURPOSE LARGE,SYSCO,SUPPLIES CLASSIC,4179586,CASE,1.0,2 CT,17.6,2025-10-22,KITCHEN,
400,MUFFIN ENGLISH ORIGINAL 2 OZ,SYSCO,THOMAS,1535368,CASE,6.0,12 CT,26.06,2025-09-22,KITCHEN,
401,MUSSEL PRINCE EDWARD ISLAND,SYSCO,IMPERIAL,1058443,CASE,1.0,10 LB,32.39,2025-07-23,KITCHEN,
402,NAPKIN BEVERAGE 10X10 2P WHT FD,SYSCO,CLASSIC,7216177,CASE,12.0,250 CT,64.15,2025-08-27,KITCHEN,
403,NAPKIN DINNER 14.5 INCH X 14.5 INCH FINESSE,SYSCO,CLASSIC,1975063,CASE,1.0,1000 CT,65.01,2025-07-09,KITCHEN,
404,OIL OLIVE BLEND 80/20,SYSCO,ARREZZIO,5934302,CASE,6.0,1 GAL,75.63,2025-09-29,KITCHEN,
405,OIL OLIVE BLEND SAUTE 10L BAG IN BOX,SYSCO,LA PADELLA,3048935,EACH,1.0,10 LTR,62.93,2025-07-11,KITCHEN,
