Unnamed: 0,ITEM_DESC,VENDOR,BRAND,VENDOR_CODE,UNIT,PACK,PER_PACK,PRICE,LAST_UPDATE,ACCOUNT,FLAG
545.0,GLOVE NITRILE FOODSERVICE POWDER FREE BLACK ME,SYSCO,CLASSIC,4685594,CASE,10.0,100 CT,66.92,2025-10-22,KITCHEN,
546.0,GUACAMOLE FRESH SNACK PACK ORIGINAL HIGH PRESSURE PASTEURIZATION,SYSCO,CASA SOLANA,2748719,CASE,36.0,2 OZ,33.71,2025-07-25,SNACK BAR,
547.0,ICE CREAM BAR SUNDAE STRAWBERRY KRUNCH,SYSCO,BLUE RIBBON,2277267,CASE,2.0,24 CT,24.78,2025-08-19,SNACK BAR,
548.0,ICE CREAM SANDWICH CHIPS GALORE,SYSCO,BLUE BUNNY,1595487,CASE,24.0,4.5 OZ,30.47,2025-08-19,SNACK BAR,
549.0,ICE CREAM SANDWICH COOKIES & CREAM,SYSCO,BLUE BUNNY,2109783,CASE,24.0,4.5 OZ,30.47,2025-08-19,SNACK BAR,
550.0,JUICE APPLE 100% PET,SYSCO,CITAVO GROVE,7213726,CASE,24.0,10 OZ,24.5,2025-07-08,SNACK BAR,
551.0,KETCHUP PACKET FANCY,SYSCO,HEINZ,4136768,CASE,1000.0,9 G,36.24,2025-07-08,SNACK BAR,
552.0,KETCHUP PACKET FANCY FOIIL,SYSCO,HOUSE RECIPE,8747859,CASE,1000.0,9 G,33.06,2025-08-19,SNACK BAR,
553.0,"KIT CUTLERY FORK, KNIFE, SPOON/SALT AND PEPPER",SYSCO,CLASSIC,7183963,CASE,1.0,250 CT,35.39,2025-08-19,SNACK BAR,
554.0,LID PLAS 32OZ SLOT VENT,SYSCO,DART CONTAINER,7213494,CASE,10.0,100 CT,48.78,2025-07-08,SNACK BAR,
555.0,LID PLASTIC SLOT FOR24N/32AJ20,SYSCO,DART CONTAINER,5466750,CASE,10.0,100 CT,30.18,2025-07-18,SNACK BAR,
556.0,LINER BASKET GREEN CHECK 12X12,SYSCO,CLASSIC,7273300,CASE,1.0,2000 CT,67.11,2025-08-11,SNACK BAR,
557.0,"LINER TRASH 43""X46""",SYSCO,RELIANCE,1764521,CASE,100.0,56 GAL,41.64,2025-07-28,SNACK BAR,
558.0,MILK CHOCOLATE ULTRA PASTEURIZED PREMIUM,SYSCO,PRAIRIE FARMS DAIRY INC,7184272,CASE,12.0,14 OZ,15.49,2025-07-29,SNACK BAR,
559.0,MILK WHOLE ULTRA HIGH TEMPERATURE,SYSCO,PRAIRIE FARMS DAIRY INC,7214375,CASE,12.0,14 OZ,14.68,2025-07-16,SNACK BAR,
560.0,NAPKIN DISPENSER 13X12 1P NATURAL,SYSCO,EARTH PLUS,7266843,CASE,12.0,600 CT,72.39,2025-08-12,SNACK BAR,
561.0,OIL VEGETABLE PURE,SYSCO,CLASSIC,4119061,CASE,6.0,1 GAL,11.67,2025-08-11,SNACK BAR,
562.0,ONION RING BEER BATTERED THICK CUT,SYSCO,BREW CITY,9394420,CASE,6.0,2.5 LB,55.42,2025-08-11,SNACK BAR,
563.0,"PICKLE REFRIGERATED KOSHER DILL SLICED .25""",SYSCO,CLAUSSEN,1537711,CASE,1.0,5 GAL,60.45,2025-08-15,SNACK BAR,
564.0,PICKLE SLICED SWEET HOTTIES,SYSCO,COOL CRISP,353835,CASE,1.0,2 GAL,24.95,2025-08-15,SNACK BAR,
565.0,PRETZEL TINY TWISTS CLASSIC LARGE SINGLE SERVING,SYSCO,ROLD GOLD,6798845,CASE,64.0,2OZ,45.75,2025-08-08,SNACK BAR,
566.0,SALSA DIPPING CUP 3 OZ,SYSCO,RED GOLD,3363365,CASE,168.0,3 OZ,74.93,2025-07-18,SNACK BAR,
567.0,SANITIZER QUAT SOLID DISPENSER,SYSCO,KEYSTONE PRODUCTS,4461400,CASE,2.0,2 LB,113.24,2025-09-09,KITCHEN,
568.0,SAUCE BARBECUE DIP CUP,SYSCO,HOUSE RECIPE,3132032,CASE,200.0,1 OZ,28.34,2025-07-23,SNACK BAR,
569.0,SAUCE CHOCOLATE DESIGNER,SYSCO,LYONS MAGNUS,3341443,CASE,12.0,16 OZ,37.13,2025-07-04,SNACK BAR,
570.0,SAUCE MARINARA DIPPING CUP,SYSCO,ARREZZIO,7274658,CASE,96.0,2.5 OZ,41.91,2025-08-11,SNACK BAR,
571.0,SAUCE PEPPER CAYENNE RED HOT,SYSCO,FRANK'S REDHOT,7524051,EACH,1.0,1 GAL,,2025-09-02,KITCHEN,
572.0,SOFT SERVE CHOCOLATE PREMIUM FRESH,SYSCO,PRAIRIE FARMS DAIRY INC,4802007,CASE,2.0,2.5 GAL,45.93,2025-08-19,SNACK BAR,
573.0,SOFT SERVE VANILLA PREMIUM FRESH,SYSCO,PRAIRIE FARMS DAIRY INC,4801983,CASE,2.0,2.5 GAL,46.1,2025-08-19,SNACK BAR,
574.0,SPOON SOUP PLASTIC BLACK HEAVY FULL,SYSCO,IMPERIAL,8199178,CASE,1000.0,1 CT,61.11,2025-08-12,SNACK BAR,
575.0,TEA ICED SWEET WITH LEMON PURE LEAF,SYSCO,LIPTON,2131850,CASE,12.0,18.5 OZ,20.83,2025-07-08,SNACK BAR,
576.0,TOPPING M&M'S PLAIN CHOPPED,SYSCO,TR TOPPER,7217490,CASE,2.0,5 LB,52.14,2025-08-12,SNACK BAR,
577.0,TOPPING STRAWBERRY SLICED,SYSCO,CLASSIC,4925129,CASE,6.0,#5,14.81,2025-08-12,SNACK BAR,
578.0,TOWELETTE MOIST LEMON SCENT 8 INCH X 5 INCH,SYSCO,TRENDZ,834697,CASE,10.0,100 CT,16.39,2025-07-25,SNACK BAR,
579.0,TRAY FOOD PAPER RED PLAID 3 POUND,SYSCO,SYSCO RELIANCE,1998477,CASE,2.0,250 CT,38.35,2025-08-19,SNACK BAR,
580.0,TRAY FOOD PAPER RED PLAID 5 POUND,SYSCO,RELIANCE,1998499,CASE,2.0,250 CT,54.72,2025-08-19,SNACK BAR,
581.0,TRAY PAPER PULP CARRY OUT 4 CUP,SYSCO,EARTH PLUS,3574910,CASE,4.0,75 CT,58.09,2025-07-25,SNACK BAR,
582.0,TUNA WHITE ALBACORE SOLID WATER,SYSCO,PORTICO,8523995,CASE,6.0,66.5 OZ,129.88,2025-07-16,SNACK BAR,
583.0,TURKEY BREAST SLICED OVEN ROASTED .67 OUNCE,SYSCO,BLOCK & BARREL,7094280,CASE,4.0,2.5 LB,64.52,2025-08-19,SNACK BAR,
584.0,WATER SPRING,SYSCO,ICE MOUNTAIN,269688,CASE,24.0,20 OZ,10.64,2025-07-29,SNACK BAR,
585.0,WRAP TORTILLA FLOUR 12 INCH,SYSCO,LA BANDERITA,4049195,CASE,8.0,12 CT,25.07,2025-08-19,SNACK BAR,
586.0,,SYSCO,,4734775,,,,53.38,2025-07-25,SNACK BAR,Needs Review
587.0,,SYSCO,,4850223,,,,55.11,2025-07-18,SNACK BAR,Needs Review
588.0,ANCHOVY FILLET EASY OPEN TIN IN OLIVE OIL,SYSCO,ARREZZIO,4689212,CASE,1.0,13 OZ,$19.28 ,2025-08-22,,
589.0,APPETIZER CHEESE MACARONI WEDGES BATTERED,SYSCO,IMPERIAL,8270631,CASE,6.0,3 LB,$97.66 ,2025-08-01,,
590.0,APPETIZER PEPPER JALAPENO CREAM CHEESE BREADED,SYSCO,IMPERIAL,7107838,CASE,4.0,4 LB,$92.67 ,2025-08-11,,
591.0,APPETIZER PEPPER JALAPENO CREAM CHEESE OVENABLE,SYSCO,CLASSIC,7055239,CASE,6.0,2 LB,63.42,2025-09-26,KITCHEN,
592.0,APPETIZER TACO CHICKEN MINI,SYSCO,CASA SOLANA,2518785,CASE,4.0,4 LB,$86.52 ,2025-08-01,,
593.0,AVOCADO HASS FRESH CHUNK PULP,SYSCO,CASA SOLANA,8337503,CASE,8.0,2 LB,$88.55 ,2025-08-06,,
594.0,BEAN GREEN TRIMMED,SYSCO,IMPERIAL,1810910,CASE,2.0,5 LB,31.39,2025-09-12,KITCHEN,
595.0,BEAN REFRIED WITH LARD,SYSCO,STOKELY,2281709,CASE,6.0,#10,45.31,2025-09-19,KITCHEN,
596.0,BEANS BLACK WITH CORN FLAME ROASTED FIESTA,SYSCO,SIMPLOT ROASTWORKS,4273470,CASE,6.0,2.5 LB,$35.66 ,2025-08-12,,
597.0,BEEF BRISKET SMOKED WHOLE,SYSCO,CERTIFIED ANGUS BEEF,3575226,LB,2.0,6.5 LB,12.118,2025-09-17,KITCHEN,
598.0,BEEF CORNED SHAVED,SYSCO,GROBBEL,2432144,CASE,4.0,3 LB,$93.23 ,2025-08-19,,
599.0,BEEF FLANK 193,SYSCO,CERTIFIED ANGUS BEEF,8754319,LB,8.0,10 LB,$12.20 ,2025-08-01,,
600.0,BEEF PATTY CHUCK STEAKBURGER ROUND CAB,SYSCO,BUCKHEAD PRIDE,7201482,CASE,42.0,5.33 OZ,92.37,2025-10-22,KITCHEN,
601.0,BEEF ROAST TOP ROUND SLICED,SYSCO,BLOCK & BARREL,1962869,CASE,4.0,2.5 LB,$102.51 ,2025-08-19,,
602.0,"BEEF SIRLOIN TIPS 1"" X 1"" FROZEN",SYSCO,BUCKHEAD PRIDE,3051935,CASE,2.0, 5 LB ,$60.65 ,2025-08-22,,
603.0,BEEF TENDERLOIN CHAIN,SYSCO,BUTCHER'S BLOCK,9460106,LB,6.0,5 LB,29.936,2025-09-26,KITCHEN,
604.0,BLINTZ CHEESE CREPE 3 OZ,SYSCO,IMPERIAL,6996029,CASE,1.0,96 CT,118.35,2025-09-19,KITCHEN,
605.0,BRATWURST 4 PER # NATURAL CASING,SYSCO,CLASSIC,1044429,CASE,40.0,4 OZ,36.99,2025-09-23,KITCHEN,
606.0,BREAD BAGUETTE ARTISAN 23 INCH,SYSCO,BAKER'S SOURCE,7276163,CASE,18.0,14.1 OZ,$51.15 ,2025-08-20,,
